model,f1_macro,f1_micro,f1_weighted,precision_weighted,recall_weighted,precision_macro,recall_macro,hamming_loss,subset_accuracy,aucpr_weighted
Chain-LogReg (x3) (tuned),0.2336033765890178,0.32489427605617865,0.3526885256197568,0.2703781359132834,0.5389090909090909,0.17738025445471495,0.5060595847102061,0.030836378295406974,0.6236685289603027,0.30278661076398483
OVR-LogReg (tuned),0.23292563140725786,0.3208082657598744,0.35504478589529004,0.26616784454894515,0.5754604105571848,0.1727101498459152,0.5440328658758335,0.03354906480471758,0.5932016807156996,0.3037609709540891
OVR-LogReg,0.1813595500987068,0.18181224432925275,0.2925068183412874,0.17953639937393567,0.9796129032258064,0.10848521326095747,0.9636470049667409,0.12139546692576839,0.1464217604101525,0.3037609709540891
Chain-LogReg (ECC x3),0.17969711455022447,0.17578850399918117,0.2880666985082275,0.17661362022811583,0.9871436950146627,0.10741538845103753,0.9698260022336523,0.12745201277592008,0.1402146892071384,0.30278661076398483
